case_id|level|title|status|backend|runtime_profile|policy_preset|policy_overrides|unsupported_mode|expect_status|expect_phase|expect_slots|expect_error_contains|reference_order|deferred_gate|topic_refs|project_name|notes
INTP-001|L1|Single-module arithmetic smoke|active|both|windows-headless|deterministic-runtime||runtime|ok|any|15||| |CCT-034|AlphaSmoke|Baseline project execution lane for deterministic arithmetic.
INTP-002|L2|Multi-module intra-project call wiring|active|both|windows-headless|deterministic-runtime||runtime|ok|any|7||| |CCT-037|AlphaModules|Exercises module-qualified project call lowering.
INTP-003|L3|Cross-project module-qualified reference call|active|both|windows-headless|deterministic-runtime||runtime|ok|any|9||LibMath| |CCT-037|AlphaCrossRef|Validates reference project lowering/execution under deterministic host profile.
INTP-004|L3|Reference shadowing with local precedence|active|both|windows-headless|deterministic-runtime||runtime|ok|any|11||LibShadow| |CCT-037|AlphaShadow|Confirms local symbol precedence over referenced project symbols.
INTP-005|L4|Deterministic host intrinsic integration mix|active|vm|windows-headless|deterministic-runtime|allow_interaction=true;ui_virtualization=scripted-responses|runtime|ok|any|1,9,1,20260301,123456,20260301,42,1,256,3,4,0||| |CCT-030;CCT-033|AlphaHostMix|Covers process/env, time, file, UI, and event-pump host calls under deterministic policy.
INTP-006|L4|Runtime host policy denial routing via Err|active|vm|windows-headless|deterministic-runtime|allow_process_spawn=false|runtime|ok|any|0,53042||| |CCT-035|AlphaPolicyRuntime|Ensures runtime policy denials surface through On Error Resume Next path.
INTP-007|L5|Compile-time gate for unsupported profile capability|active-limit|vm|linux-stdio|deterministic-compile-time||compile-time|error|compile-time||CreateObject;missing capability|||CCT-026|AlphaCompileGate|Known host-profile limit: unsupported COM activation must reject at compile-time gate.
INTP-008|L5|Implements rejects non-class module usage|active-limit|vm|windows-headless|deterministic-runtime||runtime|error|compile-time||PMR-E-IMPLEMENTS-MODULE-KIND|||CCT-040|AlphaImplementsLimit|Active limit validates class-only Implements legality; advanced multi-interface oracle edge parity remains tracked in ODG-038.
INTP-009|L5|RaiseEvent rejects non-class module usage|active-limit|vm|windows-headless|deterministic-runtime||runtime|error|compile-time||PMR-E-RAISEEVENT-MODULE-KIND|||CCT-041|AlphaRaiseEventLimit|Active limit validates class-only RaiseEvent legality; runtime subscription/ordering parity remains tracked in DIV-0004.
INTP-010|L5|Compile-time policy gate for Declare invoke|active-limit|vm|windows-headless|deterministic-compile-time|allow_dynamic_link=false|compile-time|error|compile-time||allow_dynamic_link=false|||CCT-026|AlphaDeclarePolicyLimit|Tracks dynamic-link policy gating contract in project execution flow.
INTP-011|L5|Large mixed project with references and host path|active|vm|windows-headless|deterministic-runtime||runtime|ok|any|7,1,2,7||LibMath| |CCT-037;CCT-035|AlphaMixedLarge|Broad integration case spanning modules, arrays, references, errors, and host interaction.
INTP-012|L6|Startup metadata and auto-entrypoint resolution|deferred|vm|windows-headless|deterministic-runtime||runtime|error|any||||ODG-043|CCT-045|DeferredStartup|Deferred pending host/project startup metadata model beyond single Main.
INTP-013|L6|Host project extension module lifecycle|deferred|vm|windows-headless|deterministic-runtime||runtime|error|any||||ODG-040|CCT-042|DeferredHostExtension|Project-model legality is enforced and a deterministic HAL project-catalog/reference mock exists; remaining work is adapter-backed host project mutation plus oracle capture.
INTP-014|L6|Stateful file statement parity for Open/Input/Print|deferred|vm|windows-headless|deterministic-runtime||runtime|error|any||||ODG-032|CCT-033|DeferredFileStatements|Deferred pending broader stateful file semantics and oracle parity beyond the proved Output/Print/Close/Input/Line Input roundtrip subset.
INTP-016|L4|Multi-module class hierarchy with instantiation|active|both|windows-headless|deterministic-runtime||runtime|ok|any|7,35||| |CCT-040|AlphaClassHierarchy|Exercises As New class instantiation and member dispatch in multi-module projects.
INTP-017|L4|Error handling across module boundaries with Resume|active|both|windows-headless|deterministic-runtime||runtime|ok|any|5,77,10||| |CCT-034|AlphaErrorBoundary|Exercises cross-module function calls combined with local On Error Resume Next error handling.
INTP-019|L5|Project with 3+ references and shadowing chains|active|both|windows-headless|deterministic-runtime||runtime|ok|any|1,2,12,99||LibA;LibB;LibC| |CCT-037|AlphaMultiRef|Validates qualified reference calls across 3 libraries and local function shadowing precedence.
