"run_id","side","ref","commit","lane_id","status","artifact_path","log_path"
"vmg5-abi-layout-r3","baseline","pre-value-model-migration-2026-04-20","dd1c295b2a3d3a1530dd034d9bb4a6b4c38ea57a","conformance_vm","pass","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_correctness_vmg5-abi-layout-r3\baseline\correctness\conformance_vm.csv","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_correctness_vmg5-abi-layout-r3\baseline\correctness\conformance_vm.log.txt"
"vmg5-abi-layout-r3","baseline","pre-value-model-migration-2026-04-20","dd1c295b2a3d3a1530dd034d9bb4a6b4c38ea57a","conformance_jit","pass","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_correctness_vmg5-abi-layout-r3\baseline\correctness\conformance_jit.csv","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_correctness_vmg5-abi-layout-r3\baseline\correctness\conformance_jit.log.txt"
"vmg5-abi-layout-r3","baseline","pre-value-model-migration-2026-04-20","dd1c295b2a3d3a1530dd034d9bb4a6b4c38ea57a","pointer_helpers","pass","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_correctness_vmg5-abi-layout-r3\baseline\correctness\pointer_helpers.log.txt","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_correctness_vmg5-abi-layout-r3\baseline\correctness\pointer_helpers.log.txt"
"vmg5-abi-layout-r3","baseline","pre-value-model-migration-2026-04-20","dd1c295b2a3d3a1530dd034d9bb4a6b4c38ea57a","native_string","pass","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_correctness_vmg5-abi-layout-r3\baseline\correctness\native_string.log.txt","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_correctness_vmg5-abi-layout-r3\baseline\correctness\native_string.log.txt"
"vmg5-abi-layout-r3","baseline","pre-value-model-migration-2026-04-20","dd1c295b2a3d3a1530dd034d9bb4a6b4c38ea57a","pointer_variant_scalar_container","pass","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_correctness_vmg5-abi-layout-r3\baseline\correctness\pointer_variant_scalar_container.log.txt","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_correctness_vmg5-abi-layout-r3\baseline\correctness\pointer_variant_scalar_container.log.txt"
"vmg5-abi-layout-r3","baseline","pre-value-model-migration-2026-04-20","dd1c295b2a3d3a1530dd034d9bb4a6b4c38ea57a","pointer_variant_decimal_container","pass","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_correctness_vmg5-abi-layout-r3\baseline\correctness\pointer_variant_decimal_container.log.txt","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_correctness_vmg5-abi-layout-r3\baseline\correctness\pointer_variant_decimal_container.log.txt"
"vmg5-abi-layout-r3","baseline","pre-value-model-migration-2026-04-20","dd1c295b2a3d3a1530dd034d9bb4a6b4c38ea57a","native_string_writeback_array_slot","pass","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_correctness_vmg5-abi-layout-r3\baseline\correctness\native_string_writeback_array_slot.log.txt","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_correctness_vmg5-abi-layout-r3\baseline\correctness\native_string_writeback_array_slot.log.txt"
"vmg5-abi-layout-r3","candidate","HEAD","7d5bba2d15ac36eb9267897a4ee08f1425b1f650","conformance_vm","pass","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_correctness_vmg5-abi-layout-r3\candidate\correctness\conformance_vm.csv","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_correctness_vmg5-abi-layout-r3\candidate\correctness\conformance_vm.log.txt"
"vmg5-abi-layout-r3","candidate","HEAD","7d5bba2d15ac36eb9267897a4ee08f1425b1f650","conformance_jit","pass","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_correctness_vmg5-abi-layout-r3\candidate\correctness\conformance_jit.csv","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_correctness_vmg5-abi-layout-r3\candidate\correctness\conformance_jit.log.txt"
"vmg5-abi-layout-r3","candidate","HEAD","7d5bba2d15ac36eb9267897a4ee08f1425b1f650","pointer_helpers","pass","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_correctness_vmg5-abi-layout-r3\candidate\correctness\pointer_helpers.log.txt","C:\Work\DnaCalc\OxVba\docs\evidence\value_model_migration\runs\value_model_correctness_vmg5-abi-layout-r3\candidate\correctness\pointer_helpers.log.txt"
