"source","row_id","status","scope_class","target_profile","evidence","notes"
"coverage_index","error_handling::Err object full surface","partial","non-hal","v148-v149","conformance/tests/err_clear_basic.bas","subset includes Err.Number + Raise + Clear; full Err surface still pending"
"coverage_index","interop::Boundary marshalling roundtrip","partial","hal-adjacent","excluded-current","crates/oxvba-runtime/src/variant.rs",""
"coverage_index","interop::Type-library driven external signature import","planned","hal-adjacent","excluded-current","",""
"coverage_index","runtime::File-introspection intrinsics (FreeFile/EOF/LOF/Seek subset)","partial","hal-adjacent","excluded-current","conformance/tests/stdlib_file_stub_intrinsics.bas","expression-level stub subset only"
"coverage_index","runtime::Financial extension intrinsics (NPV/IRR/MIRR/Rate/NPer subset)","partial","non-hal","v154-v156","conformance/tests/stdlib_random_financial_expansion.bas","projection subset pending full tolerance/parity behavior"
"coverage_index","types::String BSTR core","partial","non-hal","v150-v151","docs/evidence/formal/obligations.csv","boundary interop expansion pending"
"library_checklist","com-dispatch-bridge::CreateObject/DispatchInvoke","partial","hal-adjacent","excluded-current","docs/evidence/runtime/INTRINSIC_SURFACE.csv","deterministic projection subset"
"library_checklist","external-automation-libraries::Rich COM automation libraries beyond deterministic bridge","planned","hal-adjacent","excluded-current","",""
"library_checklist","file-io-library::Open/Close/Input/Line Input/Print#/Write#/EOF/LOF/Seek/FreeFile","partial","hal-adjacent","excluded-current","conformance/tests/stdlib_file_stub_intrinsics.bas","read/write statements pending; expression-level stub subset for FreeFile/EOF/LOF/Seek"
"library_checklist","financial-expansion::NPV/IRR/MIRR/Rate/NPer and related","partial","non-hal","v154-v156","conformance/tests/stdlib_random_financial_expansion.bas","deterministic projection subset without full parity/tolerance model"
"library_checklist","host-sensitive-core::Shell/Environ/Dir","partial","hal-adjacent","excluded-current","docs/evidence/runtime/INTRINSIC_SURFACE.csv","host capability fallback subset"
"library_checklist","ui-interaction::MsgBox/InputBox","planned","hal-adjacent","excluded-current","",""
"spec_checklist","COM/dispatch bridge::`CreateObject`, `DispatchInvoke`","partial","hal-adjacent","excluded-current","`v55`, `v84` evidence","Deterministic dispatch-projection subset."
"spec_checklist","Error object::Full `Err` object surface","partial","non-hal","v148-v149","`stdlib_error_err_raise_resume.bas`, `err_clear_basic.bas`","Current subset includes `Err.Number`, `Err.Raise`, and `Err.Clear`; full object surface still pending."
"spec_checklist","External automation libraries::Rich COM library surface (beyond current deterministic bridge)","planned","hal-adjacent","excluded-current","No execution evidence yet","Planned."
"spec_checklist","File I/O library::`Open/Close`, `Input/Line Input`, `Print #/Write #`, `EOF/LOF/Seek`, `FreeFile`","partial","hal-adjacent","excluded-current","`stdlib_file_stub_intrinsics.bas`","Expression-level stub subset only; statement I/O pending."
"spec_checklist","Financial expansion::`NPV`, `IRR`, `MIRR`, `Rate`, `NPer`, and related suite","partial","non-hal","v154-v156","`stdlib_random_financial_expansion.bas`","Deterministic projection subset; full parity/tolerance model pending."
"spec_checklist","Host-sensitive runtime::`Shell`, `Environ`, `Dir`","partial","hal-adjacent","excluded-current","`v52` evidence","Deterministic fallback subset, not full host parity."
"spec_checklist","Interaction/UI::`MsgBox`, `InputBox`","planned","hal-adjacent","excluded-current","No execution evidence yet","Planned (host-policy dependent)."
"spec_checklist","Types::`String` BSTR and UDT runtime semantics","partial","non-hal","v150-v151","`COVERAGE_INDEX.csv` (`String BSTR core`)","String BSTR boundary expansion remains partial."
